Theta,Phi,t_FRP,w_f,prestress,E1
-7.37E+01,-7.80E+01,4.37E-02,1.05E+01,7.35E+00,2.14E+05
3.53E+01,3.67E+01,3.23E-02,1.29E+01,6.02E+00,1.92E+05
-5.24E+01,-1.24E+01,2.59E-02,6.26E+00,5.18E+00,1.59E+05
-1.81E+01,-1.95E+01,5.37E-02,6.06E+00,6.85E+00,1.00E+05
-5.89E+01,5.38E+01,3.35E-02,1.13E+01,5.06E+00,1.58E+05
-8.56E+01,5.48E+01,5.11E-02,1.25E+01,7.02E+00,1.37E+05
-2.45E+01,6.78E-02,3.93E-02,1.28E+01,5.84E+00,2.43E+05
8.12E+01,-4.37E+01,3.00E-02,8.67E+00,6.11E+00,2.10E+05
5.72E+01,-5.51E+01,5.82E-02,1.18E+01,5.60E+00,1.26E+05
7.16E+01,-5.05E+00,4.94E-02,8.26E+00,5.27E+00,2.04E+05
-4.20E+01,-3.89E+01,5.97E-02,7.24E+00,6.93E+00,1.83E+05
-8.82E+01,-4.89E+01,5.26E-02,1.02E+01,7.11E+00,2.36E+05
1.89E+01,-4.23E+01,4.96E-02,1.16E+01,7.81E+00,1.16E+05
-1.15E+01,-7.19E+01,4.71E-02,9.13E+00,4.00E+00,1.74E+05
7.63E+00,-8.66E+01,3.67E-02,7.76E+00,5.79E+00,1.97E+05
7.39E+01,-5.27E+01,5.71E-02,1.46E+01,7.70E+00,9.04E+04
1.39E+01,-6.17E+01,4.81E-02,1.16E+01,4.36E+00,2.01E+05
-6.99E+01,1.40E+01,2.78E-02,1.42E+01,7.38E+00,2.23E+05
-6.83E+01,2.42E+01,4.64E-02,1.11E+01,4.23E+00,1.50E+05
-2.78E+01,-8.20E+00,4.60E-02,1.39E+01,7.50E+00,7.66E+04
-3.85E+01,8.86E+01,5.55E-02,9.50E+00,7.96E+00,7.83E+04
7.58E+01,1.51E+01,5.02E-02,9.97E+00,4.92E+00,1.33E+05
2.32E+01,-8.50E+01,4.29E-02,1.21E+01,4.87E+00,2.28E+05
-5.72E+00,2.60E+01,3.19E-02,6.95E+00,4.25E+00,1.38E+05
6.10E+01,3.00E+01,5.19E-02,1.31E+01,6.30E+00,2.33E+05
4.06E+01,-2.26E+00,4.16E-02,8.98E+00,7.58E+00,1.53E+05
2.97E+00,-2.18E+01,3.29E-02,8.77E+00,6.71E+00,6.88E+04
-3.59E+01,8.39E+01,3.84E-02,1.34E+01,4.14E+00,6.28E+04
1.60E+01,7.38E+01,5.64E-02,6.58E+00,4.74E+00,1.20E+05
6.29E+01,2.00E+01,4.44E-02,8.14E+00,4.52E+00,1.43E+05
-6.43E+01,4.23E+01,5.33E-02,6.87E+00,6.19E+00,1.11E+05
3.84E+01,-3.19E+01,2.94E-02,9.65E+00,5.70E+00,9.61E+04
-7.93E+01,3.46E+01,3.51E-02,1.06E+01,5.49E+00,1.77E+05
5.32E+01,7.79E+01,3.09E-02,1.44E+01,6.33E+00,2.41E+05
-3.21E+01,6.77E+01,3.70E-02,9.35E+00,5.28E+00,2.18E+05
-7.65E+01,-6.49E+01,5.47E-02,1.36E+01,4.61E+00,5.47E+04
8.84E+01,4.52E+01,3.79E-02,1.27E+01,4.67E+00,1.62E+05
4.36E+01,7.09E+01,4.48E-02,9.94E+00,5.40E+00,8.62E+04
-4.48E+01,-5.98E+01,5.75E-02,7.84E+00,6.61E+00,1.25E+05
-1.56E+00,8.03E+01,2.73E-02,7.49E+00,4.42E+00,1.03E+05
2.69E+01,-8.21E+01,4.06E-02,6.41E+00,5.52E+00,5.36E+04
4.95E+01,7.02E+00,2.70E-02,7.27E+00,5.02E+00,1.86E+05
2.97E+01,-3.37E+01,4.77E-02,1.50E+01,7.84E+00,1.79E+05
8.58E+01,-2.72E+01,5.88E-02,1.32E+01,7.62E+00,2.20E+05
-1.04E+01,4.71E+01,3.48E-02,1.08E+01,6.78E+00,7.05E+04
-1.60E+01,-1.68E+01,2.91E-02,8.46E+00,5.99E+00,8.28E+04
6.18E+00,-7.56E+01,4.21E-02,1.47E+01,7.15E+00,5.83E+04
6.65E+01,6.18E+01,2.53E-02,1.22E+01,7.22E+00,2.50E+05
-5.43E+01,1.06E+01,3.97E-02,1.10E+01,6.48E+00,1.09E+05
-4.72E+01,5.91E+01,3.58E-02,1.39E+01,6.43E+00,1.69E+05
