Job ID,L,w_f,E1_FRP,E2_FRP,nu12_FRP,G12_FRP,G13_FRP,G23_FRP,rho_FRP,rho_m,C10_m,D1_m,rho_t,E_t,nu_t,t_t,t_FRP,layup,meshSize,prestress,uz_pull,cpus,Radius,Has_Inflection,Is_Tristable
0,98.5130670522201,5.93808113529288,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.258956359538921,0.029501895119076,"[0, 90, 0]",2.54,7.28949830164424,8.0,1,,,True
1,114.809977525429,15.4399312463174,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.266733291035968,0.0385231291166713,"[0, 90, 0]",2.54,9.2617528673494,8.0,1,,,True
2,127.253366165754,17.3408719161556,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.123115756165067,0.0350040378428648,"[0, 90, 0]",2.54,4.98556185649091,8.0,1,92.17554515517875,False,True
3,54.6840545012918,11.4561867596325,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.0294907592798705,0.0444589538504136,"[0, 90, 0]",2.54,7.74219707739574,8.0,1,490.662325733443,True,False
0,112.077730769338,8.02454200874917,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.126597022878004,0.0234258751263912,"[0, 90, 0]",1.6,6.13685267346235,5.039370078740158,1,,,True
1,64.4637010420513,8.42844510218353,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.123534297441943,0.0305330780913756,"[0, 90, 0]",1.6,7.24708338683812,5.039370078740158,1,43.04281142948351,False,True
2,72.4602444665985,6.83983676487494,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.150655774302311,0.034587313250767,"[0, 90, 0]",1.6,2.91076937798855,5.039370078740158,1,47.02210704169646,False,True
3,76.0636669049009,8.61881787686937,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.183404340660626,0.0384869992804707,"[0, 90, 0]",1.6,4.97450824901387,5.039370078740158,1,71.93306839692302,False,True
4,82.9576834094913,5.01485145249699,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.105927311021594,0.0613369815656058,"[0, 90, 0]",1.6,4.61500685655831,5.039370078740158,1,,,True
5,128.595491064066,7.19928477339243,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.140548270493487,0.0491950495101447,"[0, 90, 0]",1.6,1.69970104605082,5.039370078740158,1,,,True
6,94.7694554840147,8.28227231667323,222000.0,7010.0,0.314,4661.0,4661.0,2540.0,1.2e-09,1e-09,30.972,0.0,1.2e-09,1.0,0.3,0.173087333067821,0.042247482579471,"[0, 90, 0]",1.6,6.40755002849274,5.039370078740158,1,68.61126350697259,False,True
